#  NN	„‡‰ÛÒ˚		„‡‰ÛÒ˚           Z
10736	50,42162	29,85929	1011,553
10737	50,42117	29,85535	1009,674
10738	50,42072	29,85132	1002,255
10739	50,42027	29,84734	995,974
10740	50,41985	29,84342	991,834
10741	50,41939	29,83956	990,849
10742	50,41169	29,84054	952,688
10743	50,41201	29,84405	958,565
10744	50,41270	29,84759	963,149
10745	50,41323	29,85118	984,724
10746	50,41361	29,85497	993,566
10747	50,41411	29,85897	983,408
10748	50,41478	29,86278	979,442
10749	50,41528	29,86663	984,046
10750	50,41571	29,87042	990,042
10751	50,41613	29,87429	991,063
10752	50,41660	29,87815	992,209
10753	50,41720	29,88193	993,563
10754	50,41784	29,88580	990,013
10755	50,41837	29,88969	987,978
10756	50,41888	29,89354	986,284
10757	50,41930	29,89740	978,674
10758	50,41966	29,90129	970,531
10759	50,41998	29,90500	973,704
10760	50,42047	29,90862	973,857
10761	50,42103	29,91231	975,422
10762	50,42144	29,91608	977,346
10763	50,42176	29,91987	978,829
10764	50,42215	29,92369	976,165
10765	50,42251	29,92758	977,199
10766	50,42298	29,93125	982,271
10767	50,42358	29,93502	981,159
10768	50,42401	29,93883	990,944
10769	50,42445	29,94245	1005,257
10770	50,42505	29,94642	1000,896
10771	50,42559	29,95040	998,872
10772	50,42603	29,95429	1002,972
10773	50,42655	29,95818	1005,062
10774	50,42703	29,96220	1001,056
10775	50,42748	29,96613	1002,293
10776	50,42797	29,96994	1010,493
10777	50,42842	29,97388	1013,922
10778	50,42879	29,97791	1015,427
10779	50,42918	29,98189	1018,038
10780	50,42975	29,98586	1017,561
10781	50,43033	29,98982	1018,132
10782	50,43081	29,99392	1012,237
10783	50,43118	29,99795	1012,396
10784	50,43159	30,00189	1013,785
10785	50,43222	30,00578	1013,457
10786	50,43292	30,00968	1013,782
10787	50,43357	30,01361	1014,162
10788	50,43399	30,01764	1016,503
10789	50,43426	30,02164	1020,805
10790	50,43463	30,02555	1024,695
10791	50,43501	30,02962	1023,796
10792	50,43518	30,03382	1019,978
10793	50,42872	30,03490	984,204
10794	50,42816	30,03113	990,564
10795	50,42755	30,02737	995,265
10796	50,42712	30,02357	995,983
10797	50,42702	30,01975	997,398
10798	50,42657	30,01575	1000,292
10799	50,42603	30,01188	1002,475
10800	50,42562	30,00798	1004,410
10801	50,42516	30,00397	1003,077
10802	50,42469	29,99999	1002,341
10803	50,42426	29,99603	1003,222
10804	50,42381	29,99208	1004,906
10805	50,42329	29,98814	1005,876
10806	50,42266	29,98425	1009,062
10807	50,42212	29,98038	1011,662
10808	50,42178	29,97646	1014,297
10809	50,42137	29,97244	1016,001
10810	50,42090	29,96839	1008,337
10811	50,42042	29,96433	1003,991
10812	50,41978	29,96036	1000,778
10813	50,41922	29,95652	1003,989
10814	50,41866	29,95265	1005,786
10815	50,41822	29,94878	1005,567
10816	50,41789	29,94482	1004,119
10817	50,41740	29,94088	1003,645
10818	50,41690	29,93696	1002,358
10819	50,41641	29,93303	999,132
10820	50,41592	29,92914	997,116
10821	50,41540	29,92532	999,482
10822	50,41496	29,92143	997,063
10823	50,41460	29,91760	1000,851
10824	50,41415	29,91370	1002,081
10825	50,41370	29,90976	998,292
10826	50,41336	29,90584	998,827
10827	50,41290	29,90194	1000,067
10828	50,41240	29,89804	998,220
10829	50,41192	29,89414	995,853
10830	50,41143	29,89027	996,153
10831	50,41093	29,88643	997,670
10832	50,41042	29,88259	998,435
10833	50,40991	29,87872	1000,003
10834	50,40941	29,87486	1002,166
10835	50,40891	29,87097	1002,566
10836	50,40843	29,86706	1001,925
10837	50,40798	29,86311	997,204
10838	50,40747	29,85917	997,438
10839	50,40689	29,85529	1000,805
10840	50,40626	29,85141	1005,817
10841	50,40569	29,84761	1014,101
10842	50,40564	29,84377	1016,691
10843	50,39971	29,84989	1014,049
10844	50,40015	29,85384	1013,251
10845	50,40049	29,85795	1009,319
10846	50,40090	29,86190	1005,189
10847	50,40137	29,86590	997,645
10848	50,40183	29,86975	1002,884
10849	50,40223	29,87365	1006,383
10850	50,40263	29,87761	1005,144
10851	50,40309	29,88151	1007,529
10852	50,40368	29,88534	1010,929
10853	50,40438	29,88921	1010,144
10854	50,40502	29,89308	1012,277
10855	50,40558	29,89700	1012,866
10856	50,40597	29,90105	1009,253
10857	50,40640	29,90502	1008,909
10858	50,40701	29,90875	1010,895
10859	50,40740	29,91275	1008,821
10860	50,40769	29,91665	1005,579
10861	50,40807	29,92057	999,635
10862	50,40857	29,92445	991,855
10863	50,40892	29,92843	981,598
10864	50,40899	29,93238	977,407
10865	50,40931	29,93610	971,343
10866	50,40986	29,93988	962,983
10867	50,41043	29,94351	968,707
10868	50,41090	29,94711	975,393
10869	50,41136	29,95084	981,437
10870	50,41159	29,95466	989,190
10871	50,41209	29,95843	990,619
10872	50,41275	29,96226	995,947
10873	50,41338	29,96618	999,491
10874	50,41398	29,97003	1004,196
10875	50,41439	29,97408	1007,078
10876	50,41464	29,97810	1009,911
10877	50,41484	29,98213	1010,233
10878	50,41523	29,98605	1011,750
10879	50,41602	29,98971	1015,259
10880	50,41709	29,99343	1012,803
10881	50,41826	29,99705	1014,958
10882	50,41871	30,00119	1023,813
10883	50,41865	30,00533	1032,183
10884	50,41824	30,00948	1035,808
10885	50,41819	30,01352	1031,631
10886	50,41860	30,01764	1016,766
10887	50,41926	30,02167	999,523
10888	50,41989	30,02547	994,322
10889	50,42064	30,02925	982,051
10890	50,42126	30,03311	975,986
10891	50,42162	30,03690	977,727
10892	50,42214	30,04052	975,853
10893	50,41318	30,01796	908,310
10894	50,41270	30,01465	906,220
10895	50,41228	30,01125	905,952
10896	50,41179	30,00781	904,745
10897	50,41128	30,00441	905,714
10898	50,41080	30,00110	922,363
10899	50,41029	29,99783	941,121
10900	50,40977	29,99433	952,383
10901	50,40940	29,99069	959,237
10902	50,40916	29,98699	971,537
10903	50,40890	29,98327	986,779
10904	50,40831	29,97929	992,514
10905	50,40765	29,97541	997,058
10906	50,40714	29,97154	1004,966
10907	50,40667	29,96764	1013,322
10908	50,40616	29,96368	1023,424
10909	50,40555	29,95968	1029,747
10910	50,40484	29,95553	1020,399
10911	50,40424	29,95142	1009,547
10912	50,40401	29,94739	1002,559
10913	50,40369	29,94341	1005,963
10914	50,40318	29,93945	1003,463
10915	50,40270	29,93549	998,116
10916	50,40230	29,93156	994,835
10917	50,40197	29,92766	992,922
10918	50,40164	29,92379	996,462
10919	50,40111	29,91993	997,833
10920	50,40055	29,91606	997,824
10921	50,40021	29,91221	998,183
10922	50,39984	29,90825	995,193
10923	50,39929	29,90440	999,998
10924	50,39877	29,90058	1005,637
10925	50,39832	29,89671	1013,563
10926	50,39793	29,89283	1022,105
10927	50,39735	29,88876	1020,788
10928	50,39667	29,88473	1020,616
10929	50,39597	29,88080	1023,282
10930	50,39538	29,87686	1026,980
10931	50,39498	29,87289	1032,420
10932	50,39456	29,86884	1037,928
10933	50,39416	29,86470	1033,538
10934	50,39383	29,86053	1031,106
10935	50,39336	29,85635	1024,620
10936	50,39288	29,85230	1026,033
10937	50,39241	29,84830	1027,977
10938	50,38642	29,85364	1033,177
10939	50,38656	29,85784	1030,801
10940	50,38694	29,86172	1037,636
10941	50,38768	29,86557	1046,432
10942	50,38813	29,86989	1041,766
10943	50,38845	29,87417	1038,759
10944	50,38894	29,87819	1042,580
10945	50,38956	29,88223	1043,658
  NN	ÉêÄÑìëõ	         ÉêÄÑìëõ           Z
10946	50,39003	29,88640	1045,924
10947	50,39027	29,89065	1043,685
10948	50,39069	29,89481	1039,746
10949	50,39142	29,89878	1033,889
10950	50,39216	29,90281	1029,449
10951	50,39274	29,90687	1024,628
10952	50,39299	29,91101	1016,800
10953	50,39324	29,91501	1009,388
10954	50,39370	29,91886	1006,415
10955	50,39434	29,92250	1009,617
10956	50,39504	29,92629	1005,143
10957	50,39539	29,93035	999,309
10958	50,39568	29,93428	991,549
10959	50,39603	29,93820	983,397
10960	50,39648	29,94182	990,762
10961	50,39714	29,94548	988,721
10962	50,39777	29,94929	987,572
10963	50,39819	29,95332	982,888
10964	50,39841	29,95736	983,265
10965	50,39878	29,96112	988,637
10966	50,39940	29,96486	988,172
10967	50,40004	29,96885	979,120
10968	50,40068	29,97264	973,055
10969	50,40115	29,97654	966,501
10970	50,40159	29,98036	961,492
10971	50,40198	29,98405	965,090
10972	50,40228	29,98784	963,165
10973	50,40257	29,99158	963,370
10974	50,40299	29,99510	979,031
10975	50,40345	29,99870	988,999
10976	50,40399	30,00253	989,711
10977	50,40430	30,00649	986,640
10978	50,40462	30,01033	979,452
