#  NN градусы  градусы           Z     Yaw           Pitch           Roll
10636 50.44385 29.92683 990.436       288.010432 -1.201192 0.482179      
10637 50.44336 29.92299 988.704       289.711984 -0.072720 -0.832855     
10638 50.44292 29.91917 990.592       288.849288 2.012254 -1.252428     
10639 50.44248 29.91540 995.421       295.929479 0.850876 0.251463      
10640 50.44209 29.91155 996.617       290.846976 0.898236 -0.350467     
10641 50.44172 29.90767 998.092       282.042621 1.561973 -0.808760     
10642 50.44135 29.90380 1000.867      282.629715 2.900925 0.008206      
10643 50.44097 29.89994 1005.216      281.062960 0.399614 -1.298536     
10644 50.44048 29.89595 1003.283      280.690627 0.802677 1.199429      
10645 50.42559 29.83466 985.992       60.858207 1.629822 3.602981        
10646 50.42591 29.83849 988.351       51.729484 -0.977286 -1.404121       
10647 50.42643 29.84231 992.399       46.097794 2.781595 -2.827095       
10648 50.42702 29.84599 1000.462      48.758933 1.410556 2.409505        
10649 50.42757 29.84998 1001.511      57.099044 0.099808 -1.008115       
10650 50.42817 29.85391 1002.033      51.291151 0.096594 -1.680992       
10651 50.42882 29.85779 1004.984      52.522444 0.440589 0.168032        
10652 50.42941 29.86168 1013.232      53.333189 0.499945 -0.582494       
10653 50.42990 29.86567 1018.992      54.184198 0.225254 -0.444576       
10654 50.43035 29.86965 1029.073      55.176417 2.871967 -0.785402       
10655 50.43077 29.87362 1041.591      55.735620 1.527120 -0.158831       
10656 50.43119 29.87770 1053.040      43.639490 1.736133 -4.713332       
10657 50.43183 29.88158 1072.708      46.546160 3.495657 -0.736134       
10658 50.43236 29.88580 1089.263      51.590705 5.351279 1.243484        
10659 50.43271 29.89010 1101.035      49.208440 -2.135812 -0.688956       
10660 50.43327 29.89482 1095.106      46.723943 -1.383369 -0.032994       
10661 50.43401 29.89923 1091.832      39.776965 -1.125857 1.464579        
10662 50.43479 29.90353 1081.008      48.126040 0.313062 7.405419        
10663 50.43507 29.90801 1074.836      58.739049 0.262804 3.154477        
10664 50.43519 29.91226 1073.459      47.976700 -3.878539 -10.064193      
10665 50.43593 29.91608 1064.150      41.940939 -4.741924 -2.535769       
10666 50.43680 29.92001 1037.007      48.835931 -3.479508 5.507698        
10667 50.43716 29.92433 1008.452      61.388976 -1.899790 5.813172        
10668 50.43707 29.92830 999.104       57.052543 -1.365519 -1.358539       
10669 50.43724 29.93227 988.913       47.100300 -2.253348 -2.457585       
10670 50.43781 29.93614 984.356       43.092923 1.341299 1.404206        
10671 50.43834 29.93996 981.945       48.719689 1.231146 4.368504        
10672 50.43873 29.94385 980.349       49.375054 1.871975 1.939308        
10673 50.43905 29.94765 985.016       43.990321 0.816532 -2.290380       
10674 50.43957 29.95135 985.406       37.204574 -1.208911 -1.700260       
10675 50.44036 29.95507 980.164       38.821871 0.472402 3.470663        
10676 50.44101 29.95895 974.340       47.459243 1.148570 5.738209        
10677 50.44137 29.96285 973.023       46.194072 -0.150930 -1.681625       
10678 50.44180 29.96653 978.054       45.629160 2.686732 -1.392658       
10679 50.44224 29.97012 993.400       44.680042 2.461121 -0.399487       
10680 50.44269 29.97401 997.634       45.801665 1.726271 1.711837        
10681 50.44309 29.97803 1002.254      46.941018 2.408710 1.106386        
10682 50.44347 29.98196 1011.660      45.181446 1.173331 -0.875309       
10683 50.44399 29.98590 1018.854      41.921720 0.921703 -1.937417       
10684 50.44459 29.98985 1026.087      45.020892 0.748159 0.593618        
10685 50.44509 29.99398 1028.527      48.416300 0.063814 0.560486        
10686 50.44554 29.99812 1031.849      47.121744 -0.612253 -2.089538       
10687 50.44608 30.00218 1033.684      43.906179 -1.454742 -1.471084       
10688 50.44673 30.00629 1025.706      46.006082 -1.445340 4.145836        
10689 50.44724 30.01045 1022.676      49.680673 -0.109017 3.827529        
10690 50.44756 30.01450 1023.138      51.213839 -1.024334 1.315326        
10691 50.44783 30.01852 1023.825      50.932131 -1.343080 1.079661        
10692 50.44295 30.03207 1054.257      276.974977 1.348982 0.687126      
10693 50.44255 30.02795 1058.665      280.834484 -0.359019 1.975073      
10694 50.44210 30.02355 1050.508      273.359637 -0.652224 -0.238819     
10695 50.44148 30.01932 1045.201      269.566296 -3.054343 0.272619      
10696 50.44079 30.01508 1036.088      274.233952 -1.358597 1.621353      
10697 50.44018 30.01107 1035.383      279.460125 -2.486320 1.799773      
10698 50.43972 30.00711 1027.678      280.338241 -1.294513 0.187567      
10699 50.43929 30.00315 1020.472      281.447225 -1.262353 0.466013      
10700 50.43891 29.99915 1004.604      282.779479 -3.584570 0.396096      
10701 50.43855 29.99511 988.329       277.075625 -2.826949 -3.687074     
10702 50.43801 29.99122 973.177       277.794594 -1.178603 -0.191213     
10703 50.43741 29.98753 974.973       278.659005 0.052829 0.694158      
10704 50.43687 29.98381 975.985       283.871313 -0.205860 0.895190      
10705 50.43648 29.98002 974.735       287.141524 -0.314279 1.567856      
10706 50.43622 29.97622 977.544       289.546529 1.087933 -0.518649     
